"rank","input_symbol","mouse_symbol","mouse_ensembl","human_symbol","human_ensembl","orthology_type","orthology_confidence","ambiguous","use_primary_analysis"
"Rank 1","PSAP","Psap","ENSMUSG00000004207","PSAP","ENSG00000197746","ortholog_one2one",1,"N","Y"
"Rank 1","TSPO","Tspo","ENSMUSG00000041736","TSPO","ENSG00000100300","ortholog_one2one",1,"N","Y"
"Rank 1","UCP2","Ucp2","ENSMUSG00000033685","UCP2","ENSG00000175567","ortholog_one2one",1,"N","Y"
"Rank 1","TMBIM6","Tmbim6","ENSMUSG00000023010","TMBIM6","ENSG00000139644","ortholog_one2one",1,"N","Y"
"Rank 2","NPC2","Npc2","ENSMUSG00000021242","NPC2","ENSG00000119655","ortholog_one2one",1,"N","Y"
"Rank 2","PSAP","Psap","ENSMUSG00000004207","PSAP","ENSG00000197746","ortholog_one2one",1,"N","Y"
"Rank 2","TSPO","Tspo","ENSMUSG00000041736","TSPO","ENSG00000100300","ortholog_one2one",1,"N","Y"
"Rank 2","APOBR","Apobr","ENSMUSG00000042759","APOBR","ENSG00000184730","ortholog_one2one",0,"Y","N"
"Rank 2","TREM2","Trem2","ENSMUSG00000023992","TREM2","ENSG00000095970","ortholog_one2one",1,"N","Y"
"Rank 2","MRC1","Mrc1","ENSMUSG00000026712","MRC1","ENSG00000260314","ortholog_one2one",1,"N","Y"
"Rank 2","CD68","Cd68","ENSMUSG00000018774","CD68","ENSG00000129226","ortholog_one2one",1,"N","Y"
"Rank 2","GRN","Grn","ENSMUSG00000034708","GRN","ENSG00000030582","ortholog_one2one",1,"N","Y"
"Rank 2","CTSD","Ctsd","ENSMUSG00000007891","CTSD","ENSG00000117984","ortholog_one2one",1,"N","Y"
"Rank 2","NAGLU","Naglu","ENSMUSG00000001751","NAGLU","ENSG00000108784","ortholog_one2one",1,"N","Y"
"Rank 2","LYZ2","Lyz2","ENSMUSG00000069516","LYZ","ENSG00000090382","ortholog_one2many",1,"Y","N"
"Rank 2","IFI30","Ifi30","ENSMUSG00000031838","IFI30","ENSG00000216490","ortholog_one2one",1,"N","Y"
"Rank 2","SLC15A3","Slc15a3","ENSMUSG00000024737","SLC15A3","ENSG00000110446","ortholog_one2one",1,"N","Y"
"Rank 2","CTSC","Ctsc","ENSMUSG00000030560","CTSC","ENSG00000109861","ortholog_one2one",1,"N","Y"
"Rank 2","CTSH","Ctsh","ENSMUSG00000032359","CTSH","ENSG00000103811","ortholog_one2one",1,"N","Y"
"Rank 2","CTSZ","Ctsz","ENSMUSG00000016256","CTSZ","ENSG00000101160","ortholog_one2one",1,"N","Y"
"Rank 2","LGMN","Lgmn","ENSMUSG00000021190","LGMN","ENSG00000100600","ortholog_one2one",1,"N","Y"
"Rank 2","PLD4","Pld4","ENSMUSG00000052160","PLD4","ENSG00000166428","ortholog_one2one",1,"N","Y"
"Rank 2","PLBD1","Plbd1","ENSMUSG00000030214","PLBD1","ENSG00000121316","ortholog_one2one",1,"N","Y"
"Rank 2","ARRDC2","Arrdc2","ENSMUSG00000002910","ARRDC2","ENSG00000105643","ortholog_one2one",1,"N","Y"
"Rank 2","CYTH4","Cyth4","ENSMUSG00000018008","CYTH4","ENSG00000100055","ortholog_one2one",1,"N","Y"
"Rank 2","FGD2","Fgd2","ENSMUSG00000024013","FGD2","ENSG00000146192","ortholog_one2one",1,"N","Y"
"Rank 2","IFITM1","Ifitm1","ENSMUSG00000025491","IFITM1","ENSG00000185885","ortholog_many2many",1,"Y","N"
"Rank 2","IFITM1","Ifitm1","ENSMUSG00000025491","IFITM2","ENSG00000185201","ortholog_many2many",1,"Y","N"
"Rank 2","IFITM1","Ifitm1","ENSMUSG00000025491","IFITM3","ENSG00000142089","ortholog_many2many",0,"Y","N"
"Rank 2","IFITM1","Ifitm1","ENSMUSG00000025491",NA,"ENSG00000300510","ortholog_many2many",0,"Y","N"
"Rank 2","IFITM3","Ifitm3","ENSMUSG00000025492","IFITM3","ENSG00000142089","ortholog_many2many",1,"Y","N"
"Rank 2","IFITM3","Ifitm3","ENSMUSG00000025492",NA,"ENSG00000300510","ortholog_many2many",0,"Y","N"
"Rank 2","IFITM3","Ifitm3","ENSMUSG00000025492","IFITM2","ENSG00000185201","ortholog_many2many",0,"Y","N"
"Rank 2","IFITM3","Ifitm3","ENSMUSG00000025492","IFITM1","ENSG00000185885","ortholog_many2many",0,"Y","N"
"Rank 2","ITM2C","Itm2c","ENSMUSG00000026223","ITM2C","ENSG00000135916","ortholog_one2one",1,"N","Y"
"Rank 2","LAPTM5","Laptm5","ENSMUSG00000028581","LAPTM5","ENSG00000162511","ortholog_one2one",1,"N","Y"
"Rank 2","LRRK1","Lrrk1","ENSMUSG00000015133","LRRK1","ENSG00000154237","ortholog_one2one",1,"N","Y"
"Rank 2","MS4A6C","Ms4a6c","ENSMUSG00000079419","MS4A6E","ENSG00000166926","ortholog_many2many",0,"Y","N"
"Rank 2","MS4A6C","Ms4a6c","ENSMUSG00000079419","MS4A6A","ENSG00000110077","ortholog_many2many",0,"Y","N"
"Rank 2","MYO1F","Myo1f","ENSMUSG00000024300","MYO1F","ENSG00000142347","ortholog_one2one",1,"N","Y"
"Rank 2","MYO1G","Myo1g","ENSMUSG00000020437","MYO1G","ENSG00000136286","ortholog_one2one",1,"N","Y"
"Rank 2","RIN3","Rin3","ENSMUSG00000044456","RIN3","ENSG00000100599","ortholog_one2one",1,"N","Y"
"Rank 2","SYNGR2","Syngr2","ENSMUSG00000048277","SYNGR2","ENSG00000108639","ortholog_one2one",1,"N","Y"
"Rank 2","TBC1D13","Tbc1d13","ENSMUSG00000039678","TBC1D13","ENSG00000107021","ortholog_one2one",1,"N","Y"
"Rank 2","TSPAN14","Tspan14","ENSMUSG00000037824","TSPAN14","ENSG00000108219","ortholog_one2one",1,"N","Y"
"Rank 2","CAPN3","Capn3","ENSMUSG00000079110","CAPN3","ENSG00000092529","ortholog_one2one",1,"N","Y"
"Rank 2","CNDP2","Cndp2","ENSMUSG00000024644","CNDP2","ENSG00000133313","ortholog_one2one",1,"N","Y"
