,term_name,negative_log10_of_adjusted_p_value,metabolism_related,metabolism_confidence,cell_killing_related,cell_killing_confidence,cell_killing_override
272,cell junction disassembly,3.72262921726523,false,95,false,95,false
273,negative regulation of cell population proliferation,3.71910381658016,false,95,false,95,false
274,positive regulation of lymphocyte activation,3.70555954435187,false,95,false,95,false
275,positive regulation of biosynthetic process,3.70202656505257,true,90,false,95,false
276,positive regulation of macromolecule metabolic process,3.65517910208353,true,95,false,95,false
278,innate immune response activating cell surface receptor signaling pathway,3.60640491491223,false,95,false,95,false
279,non-canonical NF-kappaB signal transduction,3.5683887118347,false,95,false,95,false
280,regulation of secretion by cell,3.4847274015629,false,75,false,95,false
281,catabolic process,3.46500208266803,true,92,false,95,false
282,positive regulation of cell population proliferation,3.45314314418416,false,95,false,95,false
283,positive regulation of T cell activation,3.45222547337597,false,95,false,95,false
284,regulation of acute inflammatory response,3.45095234361591,false,95,false,95,false
287,monocyte chemotaxis,3.36674532254448,false,95,false,95,false
288,astrocyte differentiation,3.3365330654216,false,95,false,95,false
290,positive regulation of monocyte chemotaxis,3.33603611500908,false,95,false,95,false
292,antigen processing and presentation of exogenous peptide antigen via MHC class I,3.29958330449728,false,95,false,95,false
293,regulation of leukocyte differentiation,3.23189982547818,false,95,false,95,false
294,T cell differentiation,3.21530540340489,false,95,false,95,false
295,regulation of non-canonical NF-kappaB signal transduction,3.21008584529386,false,95,false,95,false
297,macrophage activation involved in immune response,3.20628844670949,false,95,false,95,false
298,response to nitrogen compound,3.1966496033207,false,95,false,95,false
299,osteoclast differentiation,3.18577492926814,false,95,false,95,false
300,regulation of response to wounding,3.16849191035861,false,95,false,95,false
301,regulation of antigen processing and presentation,3.08422714484617,false,95,false,95,false
302,proteolysis,3.07018892442131,true,95,false,95,false
303,superoxide metabolic process,3.05644014007459,true,95,false,95,false
311,negative regulation of secretion,2.98295843168801,false,75,false,95,false
312,regulation of MAPK cascade,2.96812252327354,false,95,false,95,false
315,cell surface toll-like receptor signaling pathway,2.906556437311,false,95,false,95,false
316,regulation of cellular component organization,2.89273621939007,false,95,false,95,false
317,negative regulation of intracellular signal transduction,2.87501641170289,false,95,false,95,false
318,positive regulation of macromolecule biosynthetic process,2.87344433823559,true,90,false,95,false
319,regulation of monocyte chemotaxis,2.85990755276795,false,95,false,95,false
320,response to chemokine,2.85838900235976,false,95,false,95,false
321,mast cell activation,2.85838900235976,false,95,false,95,false
322,cellular response to chemokine,2.85838900235976,false,95,false,95,false
323,regulation of phagocytosis,2.82335088387739,false,95,false,95,false
324,system development,2.80696656502886,false,95,false,95,false
325,"phagocytosis, engulfment",2.78178514371846,false,95,false,95,false
326,T cell proliferation,2.73060467065351,false,95,false,95,false
329,T cell migration,2.71886036205791,false,95,false,95,false
330,lymphocyte migration,2.68172732297007,false,95,false,95,false
331,cellular response to type II interferon,2.68172732297007,false,95,false,95,false
332,cell surface pattern recognition receptor signaling pathway,2.67392089728608,false,95,false,95,false
333,anatomical structure morphogenesis,2.53577570585836,false,95,false,95,false
334,regulation of biosynthetic process,2.51455103230938,true,92,false,95,false
335,negative regulation of defense response,2.490313138572,false,95,false,95,false
337,respiratory burst involved in defense response,2.46118978083823,true,65,false,95,false
339,regulation of vesicle-mediated transport,2.45112655378191,false,95,false,95,false
340,antigen processing and presentation of peptide antigen via MHC class Ib,2.43837331456727,false,95,false,95,false
341,negative regulation of inflammatory response,2.42822573804914,false,95,false,95,false
342,negative regulation of gene expression,2.4085038891382,false,58,false,95,false
343,positive regulation of transport,2.39796545304243,false,95,false,95,false
344,positive regulation of macrophage activation,2.38776498225142,false,95,false,95,false
345,regulation of type II interferon production,2.38608223542299,false,55,false,95,false
346,regulation of macromolecule biosynthetic process,2.38263816731994,true,92,false,95,false
347,negative regulation of secretion by cell,2.37679664907976,false,75,false,95,false
348,type II interferon production,2.3550159620041,false,55,false,95,false
349,positive regulation of cell development,2.34662057304044,false,95,false,95,false
352,B cell activation,2.3021020608867,false,95,false,95,false
353,regulation of macromolecule metabolic process,2.29071934188391,true,96,false,95,false
355,plasma membrane invagination,2.25995488299818,false,95,false,95,false
356,positive regulation of interleukin-8 production,2.25995488299818,false,55,false,95,false
357,response to endogenous stimulus,2.23025479390907,false,95,false,95,false
359,alpha-beta T cell activation,2.22248129861093,false,95,false,95,false
360,regulation of macrophage activation,2.20853428765903,false,95,false,95,false
361,positive regulation of leukocyte differentiation,2.20192456581434,false,95,false,95,false
362,positive regulation of hemopoiesis,2.20192456581434,false,95,false,95,false
363,ERK1 and ERK2 cascade,2.17421490642368,false,95,false,95,false
364,regulation of microglial cell activation,2.16091375106442,false,95,false,95,false
365,positive regulation of inflammatory response to antigenic stimulus,2.16091375106442,false,95,false,95,false
366,regulation of plasminogen activation,2.16091375106442,false,55,false,95,false
367,regulation of inflammatory response to antigenic stimulus,2.14958649424741,false,95,false,95,false
368,gliogenesis,2.1437528795396,false,95,false,95,false
370,toll-like receptor 4 signaling pathway,2.10898386469123,false,95,false,95,false
371,multicellular organismal-level homeostasis,2.10776641351708,false,95,false,95,false
372,actin cytoskeleton organization,2.08956616333967,false,95,false,95,false
373,lymphocyte activation involved in immune response,2.08121574136308,false,95,false,95,false
374,chemokine-mediated signaling pathway,2.06076737463074,false,95,false,95,false
375,microglial cell activation involved in immune response,2.04305298957866,false,95,false,95,false
377,cellular response to metal ion,2.03885990632964,false,95,false,95,false
378,regulation of metal ion transport,2.03550700780269,false,95,false,95,false
379,dendritic cell antigen processing and presentation,2.02899060529219,false,95,false,95,false
380,membrane invagination,2.01353645140475,false,95,false,95,false
382,regulation of gene expression,1.9977384534803,false,58,false,95,false
384,acute inflammatory response,1.97357293159207,false,95,false,95,false
385,negative regulation of developmental process,1.95239910815998,false,95,false,95,false
386,negative regulation of signal transduction,1.91423360289243,false,95,false,95,false
387,leukocyte aggregation,1.90682663109076,false,95,false,95,false
388,positive regulation of tumor necrosis factor production,1.90623050679314,false,55,false,95,false
389,exocytosis,1.88740495640159,false,95,false,95,false
391,positive regulation of tumor necrosis factor superfamily cytokine production,1.84061385571637,false,55,false,95,false
392,positive regulation of vasculature development,1.83981196951506,false,95,false,95,false
393,regulation of lipid metabolic process,1.82984608470345,true,96,false,95,false
394,regulation of pattern recognition receptor signaling pathway,1.81848541172101,false,95,false,95,false
396,inflammatory response to antigenic stimulus,1.79092868311239,false,95,false,95,false
397,cellular response to macrophage colony-stimulating factor stimulus,1.79092868311239,false,95,false,95,false
399,negative regulation of tumor necrosis factor superfamily cytokine production,1.79092868311239,false,55,false,95,false
400,response to macrophage colony-stimulating factor,1.74889513343516,false,95,false,95,false
401,positive regulation of proteolysis,1.74889513343516,true,92,false,95,false
403,antigen processing and presentation via MHC class Ib,1.74464169954934,false,95,false,95,false
404,zymogen activation,1.74431417516304,true,65,false,95,false
405,detection of biotic stimulus,1.74431417516304,false,95,false,95,false
406,osteoblast differentiation,1.69102118151084,false,95,false,95,false
409,positive regulation of T cell migration,1.6841318770449,false,95,false,95,false
410,cellular process,1.6836640254798,false,95,false,95,false
411,regulation of protein metabolic process,1.65729434695231,true,95,false,95,false
413,negative regulation of leukocyte activation,1.61321566420025,false,95,false,95,false
414,positive regulation of phagocytosis,1.58814332199883,false,95,false,95,false
416,regulation of endocytosis,1.57609326214651,false,95,false,95,false
417,regulation of interleukin-8 production,1.54968247288239,false,55,false,95,false
418,interleukin-8 production,1.54968247288239,false,55,false,95,false
420,positive regulation of microglial cell activation,1.50422137686413,false,95,false,95,false
421,negative regulation of plasminogen activation,1.50422137686413,false,55,false,95,false
423,negative regulation of cell-cell adhesion,1.49657578327958,false,95,false,95,false
424,positive regulation of MAPK cascade,1.47760296212319,false,95,false,95,false
425,cellular response to nitrogen compound,1.47366160652496,false,95,false,95,false
427,production of molecular mediator of immune response,1.45528425581502,false,52,false,95,false
428,defense response to virus,1.44524100769788,false,95,false,95,false
429,regulation of anatomical structure morphogenesis,1.43860257850883,false,95,false,95,false
430,toll-like receptor signaling pathway,1.43810512274581,false,95,false,95,false
431,regulation of leukocyte proliferation,1.4070196251771,false,95,false,95,false
433,positive regulation of endocytosis,1.3517160853849,false,95,false,95,false
434,regulation of osteoblast differentiation,1.33024784747025,false,95,false,95,false
435,leukocyte migration involved in inflammatory response,1.31931821793712,false,95,false,95,false
436,plasminogen activation,1.31931821793712,false,55,false,95,false
437,protein maturation,1.31744842227369,false,60,false,95,false
438,regulation of regulated secretory pathway,1.31617623885572,false,72,false,95,false
439,regulation of calcium ion transport,1.31201183281761,false,95,false,95,false
440,regulation of establishment of protein localization,1.30547430655071,false,95,false,95,false
441,actin filament-based process,1.3039928359025,false,95,false,95,false
442,positive regulation of acute inflammatory response to antigenic stimulus,1.30271813899033,false,95,false,95,false
443,antigen processing and presentation of endogenous peptide antigen via MHC class I,1.30271813899033,false,95,false,95,false
199,regulation of apoptotic process,6.12363440292537,false,95,true,93,true
205,regulation of programmed cell death,5.73792361468221,false,95,true,93,true
62,leukocyte mediated cytotoxicity,14.2566630076025,false,95,true,92,true
249,T cell mediated cytotoxicity,4.34263406695944,false,95,true,92,true
285,killing of cells of another organism,3.38354060655904,false,95,true,92,true
314,natural killer cell mediated cytotoxicity,2.906556437311,false,95,true,92,true
354,negative regulation of apoptotic process,2.28774247541401,false,95,true,92,true
381,negative regulation of programmed cell death,2.00891207982012,false,95,true,92,true
383,positive regulation of apoptotic process,1.99180646236845,false,95,true,92,true
390,positive regulation of programmed cell death,1.84720396489899,false,95,true,92,true
99,positive regulation of leukocyte mediated cytotoxicity,9.84736407230924,false,95,true,90,true
110,regulation of leukocyte mediated cytotoxicity,8.97665597385459,false,95,true,90,true
253,apoptotic signaling pathway,4.19354740804051,false,95,true,90,true
296,positive regulation of T cell mediated cytotoxicity,3.20628844670949,false,95,true,90,true
336,regulation of T cell mediated cytotoxicity,2.47383188999911,false,95,true,90,true
426,regulation of natural killer cell mediated cytotoxicity,1.46027623440675,false,95,true,90,true
432,intrinsic apoptotic signaling pathway,1.38873361319345,false,95,true,90,true
254,regulation of apoptotic signaling pathway,4.11500978480371,false,95,true,88,true
286,disruption of cell in another organism,3.38354060655904,false,95,true,88,false
412,positive regulation of apoptotic signaling pathway,1.62361538466129,false,95,true,88,true
304,type II hypersensitivity,3.03781264574726,false,95,true,85,false
305,type IIa hypersensitivity,3.03781264574726,false,95,true,85,false
306,regulation of type IIa hypersensitivity,3.03781264574726,false,95,true,82,false
307,positive regulation of type IIa hypersensitivity,3.03781264574726,false,95,true,82,false
308,positive regulation of type II hypersensitivity,3.03781264574726,false,95,true,82,false
310,regulation of type II hypersensitivity,3.03781264574726,false,95,true,82,false
8,immune response,39.9659112802385,false,95,false,82,false
20,regulation of immune response,26.8749282531377,false,95,false,82,false
22,positive regulation of immune response,25.7506496524311,false,95,false,82,false
42,activation of immune response,15.962012829516,false,95,false,82,false
53,regulation of innate immune response,14.9745238533247,false,95,false,82,false
66,positive regulation of innate immune response,13.6506733386901,false,95,false,82,false
123,activation of innate immune response,8.28001516684778,false,95,false,82,false
11,innate immune response,34.9692253650085,false,95,false,78,false
162,immunoglobulin mediated immune response,7.21007370679244,false,95,false,78,false
237,humoral immune response,4.62914917126765,false,95,false,78,false
277,synapse pruning,3.62287576584593,false,95,false,78,false
398,regulation of immunoglobulin mediated immune response,1.79092868311239,false,95,false,78,false
408,regulation of humoral immune response,1.6841318770449,false,95,false,78,false
415,positive regulation of humoral immune response,1.58683453200318,false,95,false,76,false
124,B cell mediated immunity,8.27627865798721,false,95,false,75,false
256,humoral immune response mediated by circulating immunoglobulin,4.03339719627668,false,95,false,75,false
395,regulation of B cell mediated immunity,1.79092868311239,false,95,false,75,false
23,immune effector process,24.7110535331571,false,95,false,70,false
26,leukocyte mediated immunity,23.4510422274385,false,95,false,70,false
36,regulation of immune effector process,17.5228448078619,false,95,false,68,false
65,regulation of leukocyte mediated immunity,13.9563279217295,false,95,false,68,false
69,positive regulation of immune effector process,13.3716332617013,false,95,false,68,false
83,positive regulation of leukocyte mediated immunity,12.0152515330186,false,95,false,68,false
106,positive regulation of lymphocyte mediated immunity,9.13333172821197,false,95,false,68,false
108,regulation of lymphocyte mediated immunity,9.03938267301653,false,95,false,68,false
232,regulation of myeloid leukocyte mediated immunity,4.86442236086698,false,95,false,68,false
235,T cell mediated immunity,4.66599541698525,false,95,false,68,false
267,myeloid leukocyte mediated immunity,3.79726350383299,false,95,false,68,false
289,positive regulation of myeloid leukocyte mediated immunity,3.33603611500908,false,95,false,68,false
350,positive regulation of T cell mediated immunity,2.31253480027778,false,95,false,68,false
369,negative regulation of immune effector process,2.11788860713967,false,95,false,68,false
309,complement-mediated synapse pruning,3.03781264574726,false,95,false,60,false
291,disruption of anatomical structure in another organism,3.32623201380662,false,95,true,55,false
