Unnamed: 0,term_name,negative_log10_of_adjusted_p_value,term_id,metabolism,lipid_metabolism,mitochondrial_energy,redox_metabolism,cell_death,cell_killing,immune,transcription,translation,signaling,transport,development_structure,neuronal,best_category,confidence
11,innate immune response,34.9692253650085,GO:0045087,0.10933465,0.12766653,0.06779772,0.22116017,0.29062918,0.42863396,0.7765659,0.22201449,0.23488745,0.36848968,0.10708693,0.29008347,0.22984812,immune,0.34793195
12,defense response to symbiont,33.9852026324442,GO:0140546,0.071683355,-0.0046059825,0.01774038,-0.01410723,0.17031156,0.20820555,0.18824212,0.1386837,0.1990861,0.15877743,0.10930554,0.06983091,0.030018503,cell_killing,0.009119451
13,regulation of response to external stimulus,33.5039706026302,GO:0032101,0.061909683,0.0679287,0.02617497,0.045590237,0.07199029,0.064134754,0.17199546,0.26304036,0.02480223,0.34406918,0.09666407,0.07853414,0.22586992,signaling,0.08102882
14,defense response to other organism,33.1528501412873,GO:0098542,0.17687173,0.124292776,0.09940386,0.15855528,0.26059207,0.32732177,0.47196537,0.18785886,0.17455903,0.3107287,0.16235355,0.27287722,0.15701109,immune,0.1446436
15,response to stress,33.045853723789,GO:0006950,0.021445047,0.031834323,0.091965966,0.09042725,0.086646415,0.033979848,0.1631746,0.09617781,0.032358956,0.1953786,-0.026640987,0.0388068,0.13626969,signaling,0.032204002
16,inflammatory response,31.6109157003512,GO:0006954,0.13934681,0.19248824,0.13702972,0.26992142,0.23535222,0.3392166,0.64768434,0.10398276,0.124175414,0.30213237,0.15176086,0.17551209,0.11348966,immune,0.30846775
17,positive regulation of response to stimulus,30.9207515358124,GO:0048584,0.059474077,0.0651001,0.0702685,0.0732541,0.1591505,0.11987855,0.2454027,0.2804286,0.08035927,0.42878765,0.09681884,0.12446164,0.31448424,signaling,0.11430341
18,positive regulation of response to external stimulus,30.862521193194,GO:0032103,0.05159271,0.059341382,0.06506362,0.06351786,0.11805013,0.0969283,0.22887436,0.25055498,0.057597015,0.38713366,0.13116127,0.10084333,0.26923046,signaling,0.1179032
19,regulation of response to stimulus,28.602550643326,GO:0048583,0.071057186,0.07538302,0.030494768,0.06234029,0.10700881,0.08015902,0.18634509,0.29132468,0.039676357,0.38217348,0.054862402,0.101314366,0.26904827,signaling,0.0908488
20,regulation of immune response,26.8749282531377,GO:0050776,0.22467238,0.23295045,0.17405984,0.25385115,0.33233887,0.4668167,0.77053416,0.4211293,0.22622246,0.46791983,0.1783841,0.30576694,0.19211455,immune,0.30261433
21,response to stimulus,26.2610202815927,GO:0050896,-0.0068552736,-0.02981105,-0.010624293,0.023679357,0.06284237,0.083872825,0.1475808,0.0429447,0.0056038927,0.24944049,0.040152535,0.03486756,0.2057997,signaling,0.043640792
22,positive regulation of immune response,25.7506496524311,GO:0050778,0.15180981,0.17107633,0.16663909,0.22644176,0.3363485,0.4373812,0.6924987,0.35889822,0.20575891,0.4488458,0.13966848,0.24037397,0.19161278,immune,0.24365288
23,immune effector process,24.7110535331571,GO:0002252,0.20131198,0.20315142,0.13175409,0.26012263,0.36122215,0.5209141,0.6288836,0.23175403,0.22333848,0.31589073,0.2300892,0.23653635,0.15626848,immune,0.10796952
24,cell activation,24.6415210395532,GO:0001775,0.40447935,0.31134155,0.25853252,0.27445483,0.55479264,0.46296212,0.55616176,0.3926934,0.34477437,0.5430432,0.3654877,0.60958815,0.39740318,development_structure,0.053426385
25,response to bacterium,23.9836305042053,GO:0009617,0.25615048,0.15501401,0.20797326,0.21082187,0.21500555,0.1938617,0.29343626,0.1447714,0.23555446,0.18603057,0.20748943,0.12486687,0.0529847,immune,0.037285775
26,leukocyte mediated immunity,23.4510422274385,GO:0002443,0.0642302,0.09804599,0.07750537,0.16536517,0.3301822,0.6346675,0.7200844,0.116321206,0.09108732,0.22536115,0.23671524,0.27126476,0.04459224,immune,0.08541691
27,leukocyte activation,23.3853402586779,GO:0045321,0.1763232,0.18966293,0.10960388,0.18951732,0.33785695,0.5283464,0.61888963,0.19721383,0.1759142,0.26269102,0.2893075,0.3530834,0.18177061,immune,0.09054321
28,positive regulation of biological process,22.6753416677031,GO:0048518,0.4168823,0.33066106,0.32093954,0.30756533,0.41497028,0.2865056,0.34968114,0.49173835,0.33117074,0.5046073,0.2839201,0.3508888,0.36395854,signaling,0.012868971
29,positive regulation of defense response,22.2804883084624,GO:0031349,0.10133268,0.10970375,0.10418016,0.12508763,0.21493647,0.23290956,0.46922514,0.29899532,0.13910794,0.41057152,0.12548354,0.18996812,0.2530531,immune,0.058653623
30,regulation of defense response,22.1088976021558,GO:0031347,0.080953635,0.09557934,0.047509156,0.07179647,0.14254092,0.17160179,0.37189385,0.28405902,0.107504874,0.32110515,0.09947499,0.14487357,0.16708349,immune,0.0507887
31,antigen processing and presentation,22.0355717984123,GO:0019882,0.18312475,0.14374787,0.039833315,0.08954507,0.1770648,0.28817326,0.3117612,0.1420314,0.3634352,0.16465518,0.27442098,0.2626589,0.10817033,translation,0.05167401
32,cell killing,21.0127819687736,GO:0001906,0.35484052,0.25228032,0.27088192,0.26102734,0.7229419,0.700927,0.39064413,0.17015223,0.22564144,0.32013428,0.27190793,0.4228713,0.14466968,cell_death,0.022014856
33,regulation of response to stress,20.8353998792813,GO:0080134,0.15628651,0.15922706,0.18246143,0.19487831,0.16747394,0.08392018,0.29320422,0.35389262,0.10367599,0.3868227,0.04103948,0.17875996,0.263255,signaling,0.032930076
34,regulation of multicellular organismal process,18.9212560289242,GO:0051239,0.52156067,0.36467803,0.34978583,0.33511603,0.46603644,0.27354658,0.34102678,0.5318055,0.33621922,0.5626013,0.401052,0.5336422,0.36460373,signaling,0.028959155
35,lymphocyte mediated immunity,18.8153594005427,GO:0002449,0.086498946,0.094358295,0.08272947,0.14150392,0.32608932,0.6719718,0.6711176,0.1707975,0.17674106,0.27400118,0.20666905,0.26975465,0.013119448,cell_killing,0.00085419416
36,regulation of immune effector process,17.5228448078619,GO:0002697,0.24743691,0.27211094,0.16318542,0.28138512,0.35247004,0.46081495,0.6351638,0.45774516,0.24763106,0.43826383,0.21725577,0.28518438,0.2070831,immune,0.17434883
37,myeloid leukocyte activation,17.3452085851579,GO:0002274,0.16832995,0.16774745,0.08749916,0.18214133,0.30218142,0.45287818,0.5337945,0.1924453,0.1460303,0.1773755,0.19808522,0.31441072,0.111984655,immune,0.080916345
38,cell surface receptor signaling pathway,16.6477831871563,GO:0007166,0.21713746,0.23576665,0.11310482,0.13772288,0.44737634,0.35252267,0.45333686,0.2966967,0.23985526,0.556263,0.3981256,0.46742833,0.28323936,signaling,0.0888347
39,positive regulation of multicellular organismal process,16.4827035921248,GO:0051240,0.44941932,0.32086745,0.3522942,0.32122046,0.47705594,0.30423105,0.38378495,0.48842475,0.32594544,0.5714479,0.37743902,0.47072843,0.3687166,signaling,0.08302316
40,positive regulation of cellular process,16.4219019347358,GO:0048522,0.4117998,0.32365125,0.36895168,0.27152336,0.5252366,0.35511202,0.37759086,0.48991597,0.3194086,0.57722574,0.4057091,0.47519666,0.3786118,signaling,0.051989138
41,leukocyte migration,16.4098023431114,GO:0050900,0.105229326,0.12544388,0.10873464,0.123266004,0.20863938,0.32000044,0.44520825,0.03094498,0.14147882,0.07595374,0.37592077,0.24873298,0.08362318,immune,0.06928748
42,activation of immune response,15.962012829516,GO:0002253,0.19714727,0.17784084,0.12975329,0.23223743,0.35726714,0.5175736,0.81109023,0.24334577,0.22592214,0.42882752,0.18094587,0.29121244,0.21102169,immune,0.29351664
43,chemotaxis,15.93823204202,GO:0006935,0.15237126,0.09908499,0.104753554,0.10219182,0.16027887,0.2306419,0.2557059,-0.0011690166,0.03575491,0.08703759,0.16916412,0.21346936,0.06273454,immune,0.025063992
44,taxis,15.8753227929626,GO:0042330,0.03155614,-0.010993395,0.07957606,-0.079904206,-0.0019163266,-0.05357527,-0.012246823,0.023369566,0.09994569,0.10993763,0.056965806,-0.0004326254,0.10542797,signaling,0.0045096576
45,regulation of response to biotic stimulus,15.7250886137623,GO:0002831,0.31150275,0.19106215,0.21823086,0.218666,0.26028964,0.18900853,0.3251204,0.3830815,0.15290411,0.49265206,0.17501453,0.2658859,0.35801685,signaling,0.10957056
46,antigen processing and presentation of peptide antigen,15.6529906266656,GO:0048002,0.17926368,0.11848856,-0.01331482,0.045787178,0.13178992,0.26661074,0.31001595,0.10479626,0.40679944,0.1504391,0.21353754,0.17293668,0.10130741,translation,0.09678349
47,signal transduction,15.5532089188145,GO:0007165,0.28398928,0.1904512,0.17682555,0.1241453,0.23412758,0.13042499,0.14722863,0.31944484,0.29896027,0.50908244,0.21942532,0.08649537,0.273076,signaling,0.1896376
48,regulation of biological process,15.5052791043399,GO:0050789,0.53239983,0.40819007,0.33231428,0.3366555,0.39199808,0.26041758,0.30733112,0.56784904,0.35733703,0.49557966,0.30992508,0.41422132,0.35837445,transcription,0.035449207
49,cellular response to chemical stimulus,15.4445399693721,GO:0070887,0.44271755,0.26977327,0.3056082,0.31930432,0.32609624,0.25540504,0.35574028,0.2165665,0.14982398,0.50698006,0.35545292,0.31526777,0.3533853,signaling,0.06426251
50,regulation of cytokine production,15.3883891169014,GO:0001817,0.35603654,0.34619004,0.24185112,0.30228108,0.370086,0.40804175,0.63830554,0.5075245,0.33682925,0.46865553,0.23997456,0.38858312,0.2335706,immune,0.13078105
51,positive regulation of inflammatory response,15.3783549057365,GO:0050729,0.17284194,0.24202952,0.20182027,0.30455494,0.3081237,0.3498464,0.67096686,0.30346513,0.1736786,0.4397909,0.14780904,0.20791215,0.19169787,immune,0.23117596
52,cytokine production,15.2842651452422,GO:0001816,0.33374804,0.29528403,0.21965791,0.2568199,0.3499912,0.4045912,0.56588924,0.3163737,0.32913935,0.33017468,0.22884011,0.34715733,0.19353372,immune,0.16129804
53,regulation of innate immune response,14.9745238533247,GO:0045088,0.18219234,0.20743331,0.121215284,0.26878822,0.31548968,0.41453105,0.7862749,0.40152425,0.26609302,0.46929604,0.15060423,0.3408184,0.27397308,immune,0.31697887
54,positive regulation of response to biotic stimulus,14.9667027701963,GO:0002833,0.27912736,0.17644319,0.22769144,0.21588844,0.28497356,0.21016943,0.34918612,0.36545542,0.16527307,0.50190175,0.17498904,0.2554322,0.3633865,signaling,0.13644633
55,signaling,14.8730749153084,GO:0023052,0.24541906,0.22101817,0.15108791,0.07781954,0.3400532,0.22128546,0.35428244,0.39554214,0.32650492,0.7008933,0.30582517,0.3396266,0.374068,signaling,0.30535114
56,cellular response to stimulus,14.6629666362321,GO:0051716,0.21573493,0.11155136,0.18695502,0.11323523,0.31332195,0.24948579,0.3067534,0.16933623,0.0891116,0.5095283,0.27344352,0.33353782,0.37101287,signaling,0.13851541
57,response to peptide,14.6265611948545,GO:1901652,0.32291698,0.23833098,0.1573773,0.18722278,0.24104121,0.28552186,0.42474046,0.17425576,0.44091886,0.35522488,0.24765535,0.16492422,0.21336427,translation,0.0161784
58,cell communication,14.5843766471301,GO:0007154,0.26759052,0.15638006,0.22398335,0.087294355,0.39485303,0.3490078,0.31759554,0.22750406,0.25804526,0.5290878,0.40138292,0.46597368,0.24841581,signaling,0.06311411
59,lymphocyte activation,14.5445214389398,GO:0046649,0.20700291,0.19000013,0.11076564,0.15021081,0.3367177,0.56921697,0.59204054,0.26556653,0.26217702,0.31521702,0.25559178,0.35834324,0.1285238,immune,0.022823572
60,immune response-regulating signaling pathway,14.4968448530757,GO:0002764,0.2656105,0.2621167,0.21868894,0.26671642,0.442711,0.47976732,0.7956902,0.4564787,0.26646996,0.6528847,0.26514482,0.33976665,0.2520126,immune,0.14280546
61,myeloid leukocyte migration,14.3091140285755,GO:0097529,0.10676133,0.11596514,0.08634613,0.1199003,0.1989357,0.2951855,0.40311652,0.049456943,0.12969878,0.036103897,0.2937271,0.2254047,0.043840997,immune,0.10793102
62,leukocyte mediated cytotoxicity,14.2566630076025,GO:0001909,0.15267071,0.16012233,0.0877776,0.22558257,0.4402706,0.7294456,0.5096375,0.056318436,0.09752497,0.15988874,0.22373185,0.27292728,0.04177182,cell_killing,0.2198081
63,response to cytokine,14.040663918821,GO:0034097,0.14547624,0.13455543,0.10383801,0.17699805,0.2933181,0.4155203,0.6161433,0.19080418,0.16608937,0.33068562,0.16615911,0.22178024,0.089704886,immune,0.20062298
64,biological regulation,13.9569064981515,GO:0065007,0.44274437,0.40026206,0.30991483,0.328889,0.3667541,0.26102152,0.41950518,0.60764366,0.27434075,0.5537667,0.2449675,0.42022884,0.35983863,transcription,0.053876936
65,regulation of leukocyte mediated immunity,13.9563279217295,GO:0002703,0.1368429,0.18885323,0.12405184,0.21203947,0.35384917,0.59770185,0.7592722,0.28033912,0.13492188,0.33692402,0.2551948,0.31772423,0.1020547,immune,0.16157037
66,positive regulation of innate immune response,13.6506733386901,GO:0045089,0.14613687,0.17631856,0.14096098,0.25406027,0.3320127,0.40266514,0.73289436,0.3750105,0.2497201,0.4711789,0.13455984,0.2904599,0.2685325,immune,0.26171547
67,regulation of inflammatory response,13.5922948413145,GO:0050727,0.24936846,0.30867797,0.21538287,0.34922218,0.2927696,0.3454638,0.7202452,0.35996574,0.18284108,0.46308404,0.17858392,0.25761962,0.19501932,immune,0.25716114
68,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,13.4054859612828,GO:0002460,0.10942383,0.11252645,0.00021780469,0.067889124,0.19876893,0.3215677,0.51749086,0.1851612,0.23266464,0.3560209,0.1513236,0.21388626,0.101477444,immune,0.16146997
69,positive regulation of immune effector process,13.3716332617013,GO:0002699,0.17215627,0.20161672,0.15837502,0.2410833,0.35624135,0.43994,0.59403384,0.38036606,0.22456697,0.42766124,0.18972121,0.22479144,0.2061983,immune,0.15409383
70,antigen processing and presentation of exogenous antigen,13.3069527221141,GO:0019884,0.14526106,0.11211884,0.021279568,0.07721637,0.1217282,0.22292866,0.278293,0.107109755,0.32491767,0.10005212,0.20113814,0.23087117,0.110240035,translation,0.04662466
71,cytokine-mediated signaling pathway,13.2313107313982,GO:0019221,0.29942423,0.28609133,0.2293688,0.27507666,0.47874582,0.46305418,0.6884376,0.45259935,0.2979528,0.63850474,0.30695865,0.36771062,0.24782372,immune,0.049932837
72,regulation of cellular process,13.2277547157908,GO:0050794,0.5154965,0.39306825,0.3798305,0.28560668,0.52043235,0.34562102,0.33554983,0.5450601,0.3371873,0.563972,0.43783194,0.5547401,0.37240148,signaling,0.009231925
73,defense response to bacterium,13.0691461400322,GO:0042742,0.16385159,0.1185916,0.09790371,0.1683709,0.22478864,0.2653825,0.38309914,0.16242343,0.18900782,0.20279542,0.1459018,0.1247894,0.037843812,immune,0.11771664
74,regulation of cell activation,13.0661167493988,GO:0050865,0.39898622,0.35079992,0.2649157,0.28369218,0.5250312,0.40877444,0.56685334,0.5809106,0.32863092,0.6145805,0.326728,0.5925083,0.38309723,signaling,0.022072196
75,cellular response to cytokine stimulus,13.0104003328417,GO:0071345,0.23408589,0.18603,0.17023961,0.20017278,0.37964842,0.4374469,0.6420802,0.26104486,0.16849831,0.51702774,0.26127374,0.36168635,0.26084334,immune,0.12505245
76,T cell activation,12.9275988934448,GO:0042110,0.23739727,0.17182757,0.12086944,0.11942967,0.38114524,0.4346407,0.4420172,0.3170209,0.2980498,0.39282036,0.26290002,0.40346098,0.2447766,immune,0.007376492
77,leukocyte chemotaxis,12.7021381643464,GO:0030595,0.13038552,0.1060054,0.06722841,0.12409641,0.2208516,0.42945802,0.4631487,0.0031636544,0.0130303,0.084591016,0.23083122,0.28180933,0.054392245,immune,0.03369069
78,leukocyte differentiation,12.6947496156633,GO:0002521,0.13280107,0.18048277,0.052728027,0.122470684,0.2182096,0.37360942,0.48064494,0.21289164,0.15108773,0.15994272,0.27843136,0.46519712,0.19348797,immune,0.015447825
79,response to molecule of bacterial origin,12.6141200649905,GO:0002237,0.34360212,0.17757596,0.16903605,0.21745338,0.14032461,0.09627617,0.2962879,0.2368057,0.36235934,0.21599689,0.28277984,0.19303325,0.09464432,translation,0.018757224
80,antigen processing and presentation of exogenous peptide antigen,12.5852526145268,GO:0002478,0.16683276,0.116947114,-0.016187843,0.057990145,0.122571506,0.22121707,0.29084533,0.08932516,0.3936019,0.13796952,0.18557061,0.17706923,0.12496584,translation,0.10275656
81,cell population proliferation,12.1288470387571,GO:0008283,0.28872663,0.20321444,0.20314783,0.1834705,0.48485082,0.38704452,0.37593424,0.19933285,0.21425286,0.304078,0.24574828,0.5028757,0.2611848,development_structure,0.018024862
82,cell chemotaxis,12.1040395753635,GO:0060326,0.28066173,0.19031799,0.193883,0.18791994,0.34291017,0.38508713,0.41607565,0.09596418,0.15246566,0.22530764,0.29483533,0.43149352,0.13954344,development_structure,0.015417874
83,positive regulation of leukocyte mediated immunity,12.0152515330186,GO:0002705,0.11054975,0.16853477,0.13694951,0.20625654,0.3715547,0.5849577,0.730865,0.26999718,0.13000037,0.35963276,0.22678462,0.29049253,0.12242054,immune,0.14590728
84,immune response-activating signaling pathway,11.8819272486546,GO:0002757,0.24374762,0.21420173,0.17181066,0.23027453,0.4454887,0.50525093,0.78682876,0.36988908,0.27784497,0.6264105,0.26988533,0.33186302,0.24839315,immune,0.16041827
85,positive regulation of cell communication,11.6668324151295,GO:0010647,0.23019783,0.1939363,0.23727998,0.13320538,0.43910426,0.35205138,0.4144826,0.38575605,0.26837093,0.6572268,0.3454426,0.44405597,0.31675225,signaling,0.21317083
86,positive regulation of signaling,11.6567851644623,GO:0023056,0.2662933,0.27425665,0.23466149,0.18835047,0.39023608,0.24581611,0.41664264,0.5406692,0.3082826,0.6950567,0.28859648,0.34264785,0.39027148,signaling,0.15438747
87,intracellular signal transduction,11.0901830218558,GO:0035556,0.4422342,0.31918108,0.31389022,0.26676232,0.42009437,0.2772089,0.37520787,0.41632843,0.35683063,0.6952579,0.4626763,0.3971489,0.41213566,signaling,0.23258162
88,regulation of signaling,11.0440726640925,GO:0023051,0.3660769,0.3663268,0.24335563,0.19819917,0.39498508,0.23706028,0.42539757,0.6465413,0.3546285,0.7862105,0.34664887,0.42806047,0.43470818,signaling,0.13966918
89,regulation of cell communication,11.0166651436739,GO:0010646,0.2918462,0.23877814,0.24022418,0.14115296,0.4393248,0.36023575,0.41457847,0.42574573,0.28296614,0.66947395,0.37595007,0.5034058,0.31483454,signaling,0.16606814
90,negative regulation of multicellular organismal process,10.8311789912319,GO:0051241,0.4479976,0.2944029,0.34095478,0.30822816,0.4598307,0.28878993,0.33625826,0.44512594,0.28881466,0.50488234,0.39442578,0.44041958,0.36211044,signaling,0.045051634
91,hemopoiesis,10.6432137179972,GO:0030097,0.16072854,0.15077034,0.15779416,0.23188621,0.2867043,0.25177974,0.26320943,0.06597866,0.1054096,0.090870745,0.20456031,0.27935204,0.16700786,cell_death,0.0073522627
92,immune response-regulating cell surface receptor signaling pathway,10.5696200320263,GO:0002768,0.16237009,0.19845511,0.09562059,0.1578046,0.4229403,0.4851056,0.67418027,0.28864852,0.18928665,0.5122788,0.3028078,0.38959596,0.17939505,immune,0.16190147
93,regulation of signal transduction,10.5284679805676,GO:0009966,0.371893,0.34419805,0.22666225,0.22243524,0.29440188,0.15900725,0.26356667,0.5823016,0.30510014,0.6366514,0.24229363,0.22106384,0.3423189,signaling,0.05434978
94,positive regulation of signal transduction,10.4519775495267,GO:0009967,0.29067624,0.2794149,0.22194317,0.2054748,0.31124854,0.1839214,0.2739385,0.50386,0.28045636,0.5976385,0.23725133,0.18040481,0.3221124,signaling,0.09377849
95,cell migration,10.2632290601473,GO:0016477,0.3562905,0.25580725,0.3013997,0.19828553,0.46368098,0.33317256,0.36644095,0.19190225,0.33944857,0.33036363,0.5662388,0.5592252,0.27067694,transport,0.007013619
96,cellular response to molecule of bacterial origin,10.2082116857919,GO:0071219,0.43937412,0.2319594,0.25061888,0.26595548,0.28145623,0.19300795,0.40896642,0.29386193,0.38877907,0.36450428,0.36361432,0.3672003,0.22168794,metabolism,0.030407697
97,response to lipopolysaccharide,10.1245900056262,GO:0032496,0.21302882,0.4693849,0.12289317,0.1678358,0.16320165,0.124401845,0.23144019,0.0799802,0.12197717,0.21174729,0.17346951,0.073291525,0.08255394,lipid_metabolism,0.23794472
98,response to chemical,9.94480759146624,GO:0042221,0.29358456,0.17800444,0.16696838,0.29982692,0.13014698,0.16266611,0.20643687,0.08487511,0.10858195,0.18927392,0.15883914,0.04938436,0.112618536,redox_metabolism,0.0062423646
99,positive regulation of leukocyte mediated cytotoxicity,9.84736407230924,GO:0001912,0.17967018,0.2109738,0.13646941,0.26669168,0.49058628,0.71673965,0.6106615,0.21395431,0.13169214,0.3105641,0.23203012,0.29336995,0.10061962,cell_killing,0.10607815
100,locomotion,9.63103949464919,GO:0040011,0.16762552,0.11999747,0.1685925,0.045486428,0.1249291,0.080239914,0.124416426,0.13823396,0.1784808,0.17563234,0.27666202,0.28347445,0.27455634,development_structure,0.0068124235
101,positive regulation of cell killing,9.62468123034198,GO:0031343,0.33033413,0.28426868,0.29441243,0.30272183,0.74521863,0.723372,0.48907304,0.34989744,0.24473251,0.45532855,0.24881908,0.38111788,0.2017799,cell_death,0.021846652
102,regulation of leukocyte activation,9.57495852804059,GO:0002694,0.22772452,0.26402667,0.14627811,0.2299765,0.36300033,0.5041444,0.6593247,0.36954525,0.18767804,0.37542367,0.2904698,0.39672655,0.21844178,immune,0.15518034
103,leukocyte cell-cell adhesion,9.41040210749794,GO:0007159,0.08085157,0.081667684,0.017942242,0.09168205,0.33180118,0.4564351,0.4898622,0.08806231,0.09284312,0.16953523,0.374713,0.52692187,0.18465054,development_structure,0.037059665
104,cellular response to lipopolysaccharide,9.37198048536698,GO:0071222,0.36845088,0.5365077,0.24482132,0.25814158,0.34160662,0.25464237,0.38247,0.17952415,0.19054759,0.38558966,0.2780345,0.2949516,0.20240659,lipid_metabolism,0.15091807
105,cellular response to biotic stimulus,9.33421739058257,GO:0071216,0.39923638,0.2163772,0.29560575,0.25015548,0.3732584,0.2831154,0.3861311,0.2791184,0.1785818,0.53148794,0.3028242,0.42113185,0.40095174,signaling,0.11035609
106,positive regulation of lymphocyte mediated immunity,9.13333172821197,GO:0002708,0.12950897,0.1624172,0.14858143,0.17394686,0.35604134,0.5846262,0.6544776,0.3298221,0.20875561,0.39565584,0.1932323,0.27007198,0.0795068,immune,0.0698514
107,response to oxygen-containing compound,9.12056951106853,GO:1901700,0.3029549,0.22801563,0.30453745,0.5049246,0.14357038,0.09372574,0.10572091,0.10035237,0.11577359,0.076995134,0.14713436,0.047121007,0.07518998,redox_metabolism,0.20038715
108,regulation of lymphocyte mediated immunity,9.03938267301653,GO:0002706,0.15892652,0.1905238,0.13328826,0.178866,0.33195877,0.5994203,0.6879327,0.35966274,0.223822,0.38191772,0.21858764,0.30697328,0.059267767,immune,0.08851242
109,regulation of intracellular signal transduction,9.00202960762207,GO:1902531,0.45195398,0.37188357,0.31415683,0.30436394,0.42441767,0.25886536,0.4354316,0.55907285,0.3332465,0.76239216,0.40764192,0.41321373,0.41554442,signaling,0.20331931
110,regulation of leukocyte mediated cytotoxicity,8.97665597385459,GO:0001910,0.20918334,0.2328226,0.12266774,0.2737282,0.4777709,0.7205291,0.6007277,0.21657033,0.13291642,0.28434157,0.23966165,0.31234476,0.086280525,cell_killing,0.1198014
111,glial cell activation,8.91754346773235,GO:0061900,0.29010683,0.29202354,0.30730656,0.20491016,0.4570681,0.29771757,0.40575862,0.30778897,0.18597452,0.47856337,0.34969544,0.45155942,0.4331813,signaling,0.021495283
112,immune response-activating cell surface receptor signaling pathway,8.85271089221983,GO:0002429,0.15966034,0.16964819,0.0801242,0.15076143,0.4328277,0.50486934,0.6817042,0.2370679,0.19741724,0.50502324,0.31334645,0.38830674,0.18454358,immune,0.17668098
113,negative regulation of immune system process,8.82715297692925,GO:0002683,0.19301945,0.16772667,0.14088768,0.19329882,0.373337,0.43896756,0.5694276,0.32510826,0.2061507,0.3724059,0.22829509,0.2501834,0.22881249,immune,0.13046005
114,intracellular signaling cassette,8.80879941831666,GO:0141124,0.31902117,0.29054785,0.26730523,0.1771016,0.42178282,0.21715909,0.3816107,0.469415,0.37096077,0.6678364,0.45648444,0.45411968,0.38220835,signaling,0.19842142
115,adaptive immune response,8.70257077173041,GO:0002250,0.08977888,0.10729068,0.07366007,0.15640844,0.22353175,0.40218425,0.6951288,0.16313228,0.13435794,0.3057134,0.096875414,0.23863623,0.13542674,immune,0.29294455
116,multicellular organismal process,8.67836862288933,GO:0032501,0.44421452,0.24275276,0.3023536,0.23671171,0.39240462,0.20815954,0.2037814,0.26258948,0.30225268,0.38191304,0.39739394,0.5019151,0.31266662,development_structure,0.057700574
117,positive regulation of adaptive immune response,8.56345154179727,GO:0002821,0.12187941,0.15627697,0.12947446,0.18712157,0.28309634,0.38218296,0.6766226,0.33819956,0.18168059,0.43529063,0.12764674,0.25626284,0.20315221,immune,0.241332
118,antigen processing and presentation of peptide antigen via MHC class I,8.55342420454352,GO:0002474,0.09566401,0.08289974,-0.038695686,0.031141529,0.10968713,0.27970764,0.32780722,0.07628972,0.3106562,0.13155887,0.14653926,0.09517519,-0.0038167066,immune,0.017151028
