"","term_name","negative_log10_of_adjusted_p_value","term_id"
"92","immune response-regulating cell surface receptor signaling pathway",10.5696200320263,"GO:0002768"
"93","regulation of signal transduction",10.5284679805676,"GO:0009966"
"94","positive regulation of signal transduction",10.4519775495267,"GO:0009967"
"95","cell migration",10.2632290601473,"GO:0016477"
"96","cellular response to molecule of bacterial origin",10.2082116857919,"GO:0071219"
"97","response to lipopolysaccharide",10.1245900056262,"GO:0032496"
"98","response to chemical",9.94480759146624,"GO:0042221"
"99","positive regulation of leukocyte mediated cytotoxicity",9.84736407230924,"GO:0001912"
"100","locomotion",9.63103949464919,"GO:0040011"
"101","positive regulation of cell killing",9.62468123034198,"GO:0031343"
"102","regulation of leukocyte activation",9.57495852804059,"GO:0002694"
"103","leukocyte cell-cell adhesion",9.41040210749794,"GO:0007159"
"104","cellular response to lipopolysaccharide",9.37198048536698,"GO:0071222"
"105","cellular response to biotic stimulus",9.33421739058257,"GO:0071216"
"106","positive regulation of lymphocyte mediated immunity",9.13333172821197,"GO:0002708"
"107","response to oxygen-containing compound",9.12056951106853,"GO:1901700"
"108","regulation of lymphocyte mediated immunity",9.03938267301653,"GO:0002706"
"109","regulation of intracellular signal transduction",9.00202960762207,"GO:1902531"
"110","regulation of leukocyte mediated cytotoxicity",8.97665597385459,"GO:0001910"
"111","glial cell activation",8.91754346773235,"GO:0061900"
"112","immune response-activating cell surface receptor signaling pathway",8.85271089221983,"GO:0002429"
"113","negative regulation of immune system process",8.82715297692925,"GO:0002683"
"114","intracellular signaling cassette",8.80879941831666,"GO:0141124"
"115","adaptive immune response",8.70257077173041,"GO:0002250"
"116","multicellular organismal process",8.67836862288933,"GO:0032501"
"117","positive regulation of adaptive immune response",8.56345154179727,"GO:0002821"
"118","antigen processing and presentation of peptide antigen via MHC class I",8.55342420454352,"GO:0002474"
"119","positive regulation of cytokine production",8.52852213295921,"GO:0001819"
"120","regulation of cell killing",8.34130687379868,"GO:0031341"
"121","mononuclear cell migration",8.31067288414793,"GO:0071674"
"122","cell-cell adhesion",8.29511033664706,"GO:0098609"
"123","activation of innate immune response",8.28001516684778,"GO:0002218"
"124","B cell mediated immunity",8.27627865798721,"GO:0019724"
"125","positive regulation of cell activation",8.23426618637852,"GO:0050867"
"126","positive regulation of leukocyte migration",8.18388056421835,"GO:0002687"
"127","regulation of multicellular organismal development",8.1027985672436,"GO:2000026"
"128","negative regulation of cytokine production",8.07566033894503,"GO:0001818"
"129","mononuclear cell differentiation",8.0373627558077,"GO:1903131"
"130","phagocytosis",8.02881948565953,"GO:0006909"
"131","regulation of developmental process",8.00540125616115,"GO:0050793"
"132","regulation of leukocyte migration",7.96042484129612,"GO:0002685"
"133","cell adhesion",7.95736741489932,"GO:0007155"
"134","cellular response to oxygen-containing compound",7.90464242661895,"GO:1901701"
"135","positive regulation of mononuclear cell migration",7.89990538632569,"GO:0071677"
"136","antigen processing and presentation of peptide antigen via MHC class II",7.89320499682449,"GO:0002495"
"137","neutrophil activation",7.87537764064656,"GO:0042119"
"138","microglial cell activation",7.87537764064656,"GO:0001774"
"139","apoptotic process",7.86599886078479,"GO:0006915"
"140","cell motility",7.80663001430792,"GO:0048870"
"141","regulation of interleukin-6 production",7.78687528629321,"GO:0032675"
"142","interleukin-6 production",7.78687528629321,"GO:0032635"
"143","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",7.67099847322639,"GO:0002824"
"144","endocytosis",7.66804987221577,"GO:0006897"
"145","negative regulation of biological process",7.62862363287484,"GO:0048519"
"146","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",7.55567842951331,"GO:0002504"
"147","leukocyte activation involved in inflammatory response",7.52115879134052,"GO:0002269"
"148","myeloid leukocyte differentiation",7.51889257148235,"GO:0002573"
"149","leukocyte proliferation",7.50560466174568,"GO:0070661"
"150","macrophage activation",7.44144733089009,"GO:0042116"
"151","regulation of cell population proliferation",7.38594688491159,"GO:0042127"
"152","regulation of tumor necrosis factor production",7.37817738937427,"GO:0032680"
"153","tumor necrosis factor production",7.37817738937427,"GO:0032640"
"154","cell death",7.363885875425,"GO:0008219"
"155","programmed cell death",7.363885875425,"GO:0012501"
"156","negative regulation of cellular process",7.32604037861718,"GO:0048523"
"157","cell differentiation",7.26227266296339,"GO:0030154"
"158","tumor necrosis factor superfamily cytokine production",7.261539304408,"GO:0071706"
"159","regulation of tumor necrosis factor superfamily cytokine production",7.261539304408,"GO:1903555"
"160","cellular developmental process",7.25740642533193,"GO:0048869"
"161","secretion",7.23230319056197,"GO:0046903"
"162","immunoglobulin mediated immune response",7.21007370679244,"GO:0016064"
"163","negative regulation of response to external stimulus",7.20649952286063,"GO:0032102"
"164","granulocyte activation",7.19803141447754,"GO:0036230"
"165","anatomical structure development",7.19334951635867,"GO:0048856"
"166","positive regulation of cell migration",7.19002228200341,"GO:0030335"
"167","innate immune response-activating signaling pathway",7.08171345955113,"GO:0002758"
"168","establishment of localization",7.0204263581144,"GO:0051234"
"169","defense response to Gram-positive bacterium",6.9965266679415,"GO:0050830"
"170","regulation of leukocyte chemotaxis",6.97442678237333,"GO:0002688"
"171","blood vessel development",6.96265773327769,"GO:0001568"
"172","regulation of adaptive immune response",6.95637976086181,"GO:0002819"
"173","regulation of cell-cell adhesion",6.95198183515741,"GO:0022407"
"174","regulation of transport",6.93598465981186,"GO:0051049"
"175","positive regulation of leukocyte chemotaxis",6.87837421838029,"GO:0002690"
"176","neuroinflammatory response",6.80970667609577,"GO:0150076"
"177","positive regulation of cell motility",6.78764320179711,"GO:2000147"
"178","antigen processing and presentation of exogenous peptide antigen via MHC class II",6.76742664931459,"GO:0019886"
"179","regulation of cell adhesion",6.76720214627604,"GO:0030155"
"180","leukocyte activation involved in immune response",6.74884283414817,"GO:0002366"
"181","positive regulation of leukocyte activation",6.7153469112506,"GO:0002696"
"182","cell activation involved in immune response",6.6992690827645,"GO:0002263"
"183","transport",6.66763423392195,"GO:0006810"
"184","vesicle-mediated transport",6.57268202558648,"GO:0016192"
"185","response to virus",6.56571014737117,"GO:0009615"
"186","vasculature development",6.56224524327523,"GO:0001944"
"187","positive regulation of locomotion",6.53738494788487,"GO:0040017"
"188","myeloid cell differentiation",6.51985009958889,"GO:0030099"
"189","myeloid cell activation involved in immune response",6.48870361046166,"GO:0002275"
"190","granulocyte migration",6.46125075410353,"GO:0097530"
"191","developmental process",6.45245559089966,"GO:0032502"
"192","import into cell",6.3758062553426,"GO:0098657"
"193","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",6.34782609243126,"GO:0002822"
"194","cell development",6.32560410100653,"GO:0048468"
"195","response to lipid",6.29462900055453,"GO:0033993"
"196","pattern recognition receptor signaling pathway",6.24051306376888,"GO:0002221"
"197","granulocyte chemotaxis",6.23065509646967,"GO:0071621"
"198","blood vessel morphogenesis",6.22398381140182,"GO:0048514"
"199","regulation of apoptotic process",6.12363440292537,"GO:0042981"
"200","regulation of mononuclear cell migration",6.00012758139932,"GO:0071675"
"201","positive regulation of chemotaxis",5.96045587937596,"GO:0050921"
"202","regulation of localization",5.95887925381244,"GO:0032879"
"203","negative regulation of response to stimulus",5.89743816313694,"GO:0048585"
"204","respiratory burst",5.80584834283104,"GO:0045730"
"205","regulation of programmed cell death",5.73792361468221,"GO:0043067"
"206","regulation of lymphocyte activation",5.65979026701774,"GO:0051249"
"207","multicellular organism development",5.64749530688381,"GO:0007275"
"208","regulation of chemokine production",5.64418845765432,"GO:0032642"
"209","chemokine production",5.64418845765432,"GO:0032602"
"210","positive regulation of gene expression",5.62602644396823,"GO:0010628"
"211","lymphocyte proliferation",5.5568969130389,"GO:0046651"
"212","regulation of leukocyte cell-cell adhesion",5.52089036240609,"GO:1903037"
"213","mononuclear cell proliferation",5.42566695244754,"GO:0032943"
"214","localization",5.32656153152183,"GO:0051179"
"215","regulation of chemotaxis",5.27741326616384,"GO:0050920"
"216","secretion by cell",5.27307959474857,"GO:0032940"
"217","regulation of cell migration",5.24305071294702,"GO:0030334"
"218","response to type II interferon",5.21305876934571,"GO:0034341"
"219","positive regulation of developmental process",5.16941886218002,"GO:0051094"
"220","positive regulation of cell differentiation",5.16666545060714,"GO:0045597"
"221","tube morphogenesis",5.15703483284267,"GO:0035239"
"222","positive regulation of interleukin-6 production",5.14710013987267,"GO:0032755"
"223","positive regulation of metabolic process",5.10790676298255,"GO:0009893"
"224","positive regulation of acute inflammatory response",5.09826223989608,"GO:0002675"
"225","astrocyte development",5.08579726959423,"GO:0014002"
"226","positive regulation of intracellular signal transduction",5.03285773589896,"GO:1902533"
"227","regulation of secretion",5.03273848996027,"GO:0051046"
"228","cellular response to lipid",4.97035701013714,"GO:0071396"
"229","reactive oxygen species metabolic process",4.93773031143824,"GO:0072593"
"230","neutrophil chemotaxis",4.9069985693956,"GO:0030593"
"231","lipopolysaccharide-mediated signaling pathway",4.86442236086698,"GO:0031663"
"232","regulation of myeloid leukocyte mediated immunity",4.86442236086698,"GO:0002886"
"233","positive regulation of cell adhesion",4.72246451663286,"GO:0045785"
"234","regulation of cell motility",4.70524789211097,"GO:2000145"
"235","T cell mediated immunity",4.66599541698525,"GO:0002456"
"236","regulation of cell differentiation",4.63629614570117,"GO:0045595"
"237","humoral immune response",4.62914917126765,"GO:0006959"
"238","angiogenesis",4.61524848121894,"GO:0001525"
"239","lymphocyte differentiation",4.59586817520697,"GO:0030098"
"240","antigen processing and presentation of endogenous peptide antigen",4.5841154462442,"GO:0002483"
"241","regulation of vasculature development",4.58091312188574,"GO:1901342"
"242","export from cell",4.56212962399354,"GO:0140352"
"243","MAPK cascade",4.55963402125962,"GO:0000165"
"244","positive regulation of non-canonical NF-kappaB signal transduction",4.46841930191981,"GO:1901224"
"245","regulation of T cell activation",4.44368436673877,"GO:0050863"
"246","positive regulation of chemokine production",4.40698358949451,"GO:0032722"
"247","anatomical structure formation involved in morphogenesis",4.37911403344115,"GO:0048646"
"248","antigen processing and presentation of endogenous antigen",4.35291334939998,"GO:0019883"
"249","T cell mediated cytotoxicity",4.34263406695944,"GO:0001913"
"250","regulation of cell development",4.32879539969915,"GO:0060284"
"251","regulation of locomotion",4.28330926844422,"GO:0040012"
"252","regulation of hemopoiesis",4.20872403843095,"GO:1903706"
"253","apoptotic signaling pathway",4.19354740804051,"GO:0097190"
"254","regulation of apoptotic signaling pathway",4.11500978480371,"GO:2001233"
"255","neutrophil migration",4.0855475828186,"GO:1990266"
"256","humoral immune response mediated by circulating immunoglobulin",4.03339719627668,"GO:0002455"
"257","negative regulation of transport",4.03200757425209,"GO:0051051"
"258","response to wounding",4.02576572243232,"GO:0009611"
"259","positive regulation of cell-cell adhesion",4.0120527682217,"GO:0022409"
"260","tube development",3.97116541573907,"GO:0035295"
"261","circulatory system development",3.96310331204845,"GO:0072359"
"262","positive regulation of leukocyte cell-cell adhesion",3.93910953219234,"GO:1903039"
"263","regulation of metabolic process",3.9385116732352,"GO:0019222"
"264","negative regulation of cell activation",3.91637507480655,"GO:0050866"
"265","regulation of angiogenesis",3.85620262235212,"GO:0045765"
"266","regulation of proteolysis",3.82432975599107,"GO:0030162"
"267","myeloid leukocyte mediated immunity",3.79726350383299,"GO:0002444"
"268","astrocyte activation",3.78272378470057,"GO:0048143"
"269","negative regulation of signaling",3.73910296172622,"GO:0023057"
"270","negative regulation of cell communication",3.73182119740853,"GO:0010648"
"271","superoxide anion generation",3.72262921726523,"GO:0042554"
"272","cell junction disassembly",3.72262921726523,"GO:0150146"
"273","negative regulation of cell population proliferation",3.71910381658016,"GO:0008285"
"274","positive regulation of lymphocyte activation",3.70555954435187,"GO:0051251"
"275","positive regulation of biosynthetic process",3.70202656505257,"GO:0009891"
"276","positive regulation of macromolecule metabolic process",3.65517910208353,"GO:0010604"
"277","synapse pruning",3.62287576584593,"GO:0098883"
"278","innate immune response activating cell surface receptor signaling pathway",3.60640491491223,"GO:0002220"
"279","non-canonical NF-kappaB signal transduction",3.5683887118347,"GO:0038061"
"280","regulation of secretion by cell",3.4847274015629,"GO:1903530"
"281","catabolic process",3.46500208266803,"GO:0009056"
"282","positive regulation of cell population proliferation",3.45314314418416,"GO:0008284"
"283","positive regulation of T cell activation",3.45222547337597,"GO:0050870"
"284","regulation of acute inflammatory response",3.45095234361591,"GO:0002673"
"285","killing of cells of another organism",3.38354060655904,"GO:0031640"
"286","disruption of cell in another organism",3.38354060655904,"GO:0141061"
"287","monocyte chemotaxis",3.36674532254448,"GO:0002548"
"288","astrocyte differentiation",3.3365330654216,"GO:0048708"
"289","positive regulation of myeloid leukocyte mediated immunity",3.33603611500908,"GO:0002888"
"290","positive regulation of monocyte chemotaxis",3.33603611500908,"GO:0090026"
"291","disruption of anatomical structure in another organism",3.32623201380662,"GO:0141060"
"292","antigen processing and presentation of exogenous peptide antigen via MHC class I",3.29958330449728,"GO:0042590"
"293","regulation of leukocyte differentiation",3.23189982547818,"GO:1902105"
"294","T cell differentiation",3.21530540340489,"GO:0030217"
"295","regulation of non-canonical NF-kappaB signal transduction",3.21008584529386,"GO:1901222"
"296","positive regulation of T cell mediated cytotoxicity",3.20628844670949,"GO:0001916"
"297","macrophage activation involved in immune response",3.20628844670949,"GO:0002281"
"298","response to nitrogen compound",3.1966496033207,"GO:1901698"
"299","osteoclast differentiation",3.18577492926814,"GO:0030316"
"300","regulation of response to wounding",3.16849191035861,"GO:1903034"
"301","regulation of antigen processing and presentation",3.08422714484617,"GO:0002577"
"302","proteolysis",3.07018892442131,"GO:0006508"
"303","superoxide metabolic process",3.05644014007459,"GO:0006801"
"304","type II hypersensitivity",3.03781264574726,"GO:0002445"
"305","type IIa hypersensitivity",3.03781264574726,"GO:0001794"
"306","regulation of type IIa hypersensitivity",3.03781264574726,"GO:0001796"
"307","positive regulation of type IIa hypersensitivity",3.03781264574726,"GO:0001798"
"308","positive regulation of type II hypersensitivity",3.03781264574726,"GO:0002894"
"309","complement-mediated synapse pruning",3.03781264574726,"GO:0150062"
"310","regulation of type II hypersensitivity",3.03781264574726,"GO:0002892"
"311","negative regulation of secretion",2.98295843168801,"GO:0051048"
"312","regulation of MAPK cascade",2.96812252327354,"GO:0043408"
"313","regulation of leukocyte degranulation",2.91520074463034,"GO:0043300"
"314","natural killer cell mediated cytotoxicity",2.906556437311,"GO:0042267"
"315","cell surface toll-like receptor signaling pathway",2.906556437311,"GO:0140895"
"316","regulation of cellular component organization",2.89273621939007,"GO:0051128"
"317","negative regulation of intracellular signal transduction",2.87501641170289,"GO:1902532"
"318","positive regulation of macromolecule biosynthetic process",2.87344433823559,"GO:0010557"
"319","regulation of monocyte chemotaxis",2.85990755276795,"GO:0090025"
"320","response to chemokine",2.85838900235976,"GO:1990868"
"321","mast cell activation",2.85838900235976,"GO:0045576"
"322","cellular response to chemokine",2.85838900235976,"GO:1990869"
"323","regulation of phagocytosis",2.82335088387739,"GO:0050764"
"324","system development",2.80696656502886,"GO:0048731"
"325","phagocytosis, engulfment",2.78178514371846,"GO:0006911"
"326","T cell proliferation",2.73060467065351,"GO:0042098"
"327","natural killer cell mediated immunity",2.71886036205791,"GO:0002228"
"328","leukocyte degranulation",2.71886036205791,"GO:0043299"
"329","T cell migration",2.71886036205791,"GO:0072678"
"330","lymphocyte migration",2.68172732297007,"GO:0072676"
"331","cellular response to type II interferon",2.68172732297007,"GO:0071346"
"332","cell surface pattern recognition receptor signaling pathway",2.67392089728608,"GO:0002752"
"333","anatomical structure morphogenesis",2.53577570585836,"GO:0009653"
"334","regulation of biosynthetic process",2.51455103230938,"GO:0009889"
"335","negative regulation of defense response",2.490313138572,"GO:0031348"
"336","regulation of T cell mediated cytotoxicity",2.47383188999911,"GO:0001914"
"337","respiratory burst involved in defense response",2.46118978083823,"GO:0002679"
"338","Fc-gamma receptor signaling pathway",2.46118978083823,"GO:0038094"
"339","regulation of vesicle-mediated transport",2.45112655378191,"GO:0060627"
"340","antigen processing and presentation of peptide antigen via MHC class Ib",2.43837331456727,"GO:0002428"
"341","negative regulation of inflammatory response",2.42822573804914,"GO:0050728"
"342","negative regulation of gene expression",2.4085038891382,"GO:0010629"
"343","positive regulation of transport",2.39796545304243,"GO:0051050"
"344","positive regulation of macrophage activation",2.38776498225142,"GO:0043032"
"345","regulation of type II interferon production",2.38608223542299,"GO:0032649"
"346","regulation of macromolecule biosynthetic process",2.38263816731994,"GO:0010556"
"347","negative regulation of secretion by cell",2.37679664907976,"GO:1903531"
"348","type II interferon production",2.3550159620041,"GO:0032609"
"349","positive regulation of cell development",2.34662057304044,"GO:0010720"
"350","positive regulation of T cell mediated immunity",2.31253480027778,"GO:0002711"
"351","complement activation",2.31253480027778,"GO:0006956"
"352","B cell activation",2.3021020608867,"GO:0042113"
"353","regulation of macromolecule metabolic process",2.29071934188391,"GO:0060255"
"354","negative regulation of apoptotic process",2.28774247541401,"GO:0043066"
"355","plasma membrane invagination",2.25995488299818,"GO:0099024"
"356","positive regulation of interleukin-8 production",2.25995488299818,"GO:0032757"
"357","response to endogenous stimulus",2.23025479390907,"GO:0009719"
"358","complement activation, classical pathway",2.22589497415965,"GO:0006958"
"359","alpha-beta T cell activation",2.22248129861093,"GO:0046631"
"360","regulation of macrophage activation",2.20853428765903,"GO:0043030"
"361","positive regulation of leukocyte differentiation",2.20192456581434,"GO:1902107"
"362","positive regulation of hemopoiesis",2.20192456581434,"GO:1903708"
"363","ERK1 and ERK2 cascade",2.17421490642368,"GO:0070371"
"364","regulation of microglial cell activation",2.16091375106442,"GO:1903978"
"365","positive regulation of inflammatory response to antigenic stimulus",2.16091375106442,"GO:0002863"
"366","regulation of plasminogen activation",2.16091375106442,"GO:0010755"
"367","regulation of inflammatory response to antigenic stimulus",2.14958649424741,"GO:0002861"
"368","gliogenesis",2.1437528795396,"GO:0042063"
"369","negative regulation of immune effector process",2.11788860713967,"GO:0002698"
"370","toll-like receptor 4 signaling pathway",2.10898386469123,"GO:0034142"
"371","multicellular organismal-level homeostasis",2.10776641351708,"GO:0048871"
"372","actin cytoskeleton organization",2.08956616333967,"GO:0030036"
"373","lymphocyte activation involved in immune response",2.08121574136308,"GO:0002285"
"374","chemokine-mediated signaling pathway",2.06076737463074,"GO:0070098"
"375","microglial cell activation involved in immune response",2.04305298957866,"GO:0002282"
"376","positive regulation of complement activation",2.04305298957866,"GO:0045917"
"377","cellular response to metal ion",2.03885990632964,"GO:0071248"
"378","regulation of metal ion transport",2.03550700780269,"GO:0010959"
"379","dendritic cell antigen processing and presentation",2.02899060529219,"GO:0002468"
"380","membrane invagination",2.01353645140475,"GO:0010324"
"381","negative regulation of programmed cell death",2.00891207982012,"GO:0043069"
"382","regulation of gene expression",1.9977384534803,"GO:0010468"
"383","positive regulation of apoptotic process",1.99180646236845,"GO:0043065"
"384","acute inflammatory response",1.97357293159207,"GO:0002526"
"385","negative regulation of developmental process",1.95239910815998,"GO:0051093"
"386","negative regulation of signal transduction",1.91423360289243,"GO:0009968"
"387","leukocyte aggregation",1.90682663109076,"GO:0070486"
"388","positive regulation of tumor necrosis factor production",1.90623050679314,"GO:0032760"
"389","exocytosis",1.88740495640159,"GO:0006887"
"390","positive regulation of programmed cell death",1.84720396489899,"GO:0043068"
"391","positive regulation of tumor necrosis factor superfamily cytokine production",1.84061385571637,"GO:1903557"
"392","positive regulation of vasculature development",1.83981196951506,"GO:1904018"
"393","regulation of lipid metabolic process",1.82984608470345,"GO:0019216"
"394","regulation of pattern recognition receptor signaling pathway",1.81848541172101,"GO:0062207"
"395","regulation of B cell mediated immunity",1.79092868311239,"GO:0002712"
"396","inflammatory response to antigenic stimulus",1.79092868311239,"GO:0002437"
"397","cellular response to macrophage colony-stimulating factor stimulus",1.79092868311239,"GO:0036006"
"398","regulation of immunoglobulin mediated immune response",1.79092868311239,"GO:0002889"
"399","negative regulation of tumor necrosis factor superfamily cytokine production",1.79092868311239,"GO:1903556"
"400","response to macrophage colony-stimulating factor",1.74889513343516,"GO:0036005"
"401","positive regulation of proteolysis",1.74889513343516,"GO:0045862"
"402","positive regulation of apoptotic cell clearance",1.74464169954934,"GO:2000427"
"403","antigen processing and presentation via MHC class Ib",1.74464169954934,"GO:0002475"
"404","zymogen activation",1.74431417516304,"GO:0031638"
"405","detection of biotic stimulus",1.74431417516304,"GO:0009595"
"406","osteoblast differentiation",1.69102118151084,"GO:0001649"
"407","Fc receptor signaling pathway",1.68672411561231,"GO:0038093"
"408","regulation of humoral immune response",1.6841318770449,"GO:0002920"
"409","positive regulation of T cell migration",1.6841318770449,"GO:2000406"
"410","cellular process",1.6836640254798,"GO:0009987"
"411","regulation of protein metabolic process",1.65729434695231,"GO:0051246"
"412","positive regulation of apoptotic signaling pathway",1.62361538466129,"GO:2001235"
"413","negative regulation of leukocyte activation",1.61321566420025,"GO:0002695"
"414","positive regulation of phagocytosis",1.58814332199883,"GO:0050766"
"415","positive regulation of humoral immune response",1.58683453200318,"GO:0002922"
"416","regulation of endocytosis",1.57609326214651,"GO:0030100"
"417","regulation of interleukin-8 production",1.54968247288239,"GO:0032677"
"418","interleukin-8 production",1.54968247288239,"GO:0032637"
"419","regulation of apoptotic cell clearance",1.50422137686413,"GO:2000425"
"420","positive regulation of microglial cell activation",1.50422137686413,"GO:1903980"
"421","negative regulation of plasminogen activation",1.50422137686413,"GO:0010757"
"422","positive regulation of hypersensitivity",1.50422137686413,"GO:0002885"
"423","negative regulation of cell-cell adhesion",1.49657578327958,"GO:0022408"
"424","positive regulation of MAPK cascade",1.47760296212319,"GO:0043410"
"425","cellular response to nitrogen compound",1.47366160652496,"GO:1901699"
"426","regulation of natural killer cell mediated cytotoxicity",1.46027623440675,"GO:0042269"
"427","production of molecular mediator of immune response",1.45528425581502,"GO:0002440"
"428","defense response to virus",1.44524100769788,"GO:0051607"
"429","regulation of anatomical structure morphogenesis",1.43860257850883,"GO:0022603"
"430","toll-like receptor signaling pathway",1.43810512274581,"GO:0002224"
"431","regulation of leukocyte proliferation",1.4070196251771,"GO:0070663"
"432","intrinsic apoptotic signaling pathway",1.38873361319345,"GO:0097193"
"433","positive regulation of endocytosis",1.3517160853849,"GO:0045807"
"434","regulation of osteoblast differentiation",1.33024784747025,"GO:0045667"
